"year","category_type","category_value","measure","value"
2005,"territory","Чернівецька","title_count",453
2005,"territory","Чернігівська","copy_count",149.8
2005,"territory","Чернігівська","title_count",193
2005,"theme","Дитяча література","copy_count",4192.5
2005,"theme","Дитяча література","title_count",0
2005,"theme","Друк у цілому. Книгознавство. Преса. Поліграфія","copy_count",871.4
2005,"theme","Друк у цілому. Книгознавство. Преса. Поліграфія","title_count",0
2005,"theme","Література з освіти і культури","copy_count",23250.8
2005,"theme","Література з освіти і культури","title_count",0
2005,"theme","Література з фізичної культури і спорту","copy_count",159.1
2005,"theme","Література з фізичної культури і спорту","title_count",0
2005,"theme","Література з філологічних наук","copy_count",1679.7
2005,"theme","Література з філологічних наук","title_count",0
2005,"theme","Література універсального змісту","copy_count",534.2
2005,"theme","Література універсального змісту","title_count",0
2005,"theme","Мистецтво. Мистецтвознавство","copy_count",181.6
2005,"theme","Мистецтво. Мистецтвознавство","title_count",0
2005,"theme","Охорона здоров'я. Медична література","copy_count",1568.3
2005,"theme","Охорона здоров'я. Медична література","title_count",0
2005,"theme","Політична і соціально-економічна література","copy_count",10486.6
2005,"theme","Політична і соціально-економічна література","title_count",0
2005,"theme","Природничо-наукова література","copy_count",1078.6
2005,"theme","Природничо-наукова література","title_count",0
2005,"theme","Сільськогосподарська література","copy_count",965.1
2005,"theme","Сільськогосподарська література","title_count",0
2005,"theme","Технічна література","copy_count",3553.3
2005,"theme","Технічна література","title_count",0
2005,"theme","Художня література. Фольклор","copy_count",5438.6
2005,"theme","Художня література. Фольклор","title_count",0
2005,"total","all_books","copy_count",54059.8
2005,"total","all_books","title_count",15720
2006,"language","Іврит","copy_count",0
2006,"language","Іврит","title_count",0
2006,"language","Іспанська","copy_count",0
2006,"language","Іспанська","title_count",0
2006,"language","Італійська","copy_count",0
2006,"language","Італійська","title_count",0
2006,"language","Азербайджанська","copy_count",0
2006,"language","Азербайджанська","title_count",0
2006,"language","Англійська","copy_count",0
2006,"language","Англійська","title_count",0
2006,"language","Арабська","copy_count",0
2006,"language","Арабська","title_count",0
2006,"language","Болгарська","copy_count",0
2006,"language","Болгарська","title_count",0
2006,"language","Білоруська","copy_count",0
2006,"language","Білоруська","title_count",0
2006,"language","Вʼєтнамська","copy_count",0
2006,"language","Вʼєтнамська","title_count",0
2006,"language","Гагаузька","copy_count",0
2006,"language","Гагаузька","title_count",0
2006,"language","Грецька","copy_count",0
2006,"language","Грецька","title_count",0
2006,"language","Давньогрецька","copy_count",0
2006,"language","Давньогрецька","title_count",0
2006,"language","Естонська","copy_count",0
2006,"language","Естонська","title_count",0
2006,"language","Китайська","copy_count",0
2006,"language","Китайська","title_count",0
2006,"language","Кримськотатарська","copy_count",0
2006,"language","Кримськотатарська","title_count",0
2006,"language","Кількома мовами народів світу","copy_count",0
2006,"language","Кількома мовами народів світу","title_count",0
2006,"language","Латинська","copy_count",0
2006,"language","Латинська","title_count",0
2006,"language","Литовська","copy_count",0
2006,"language","Литовська","title_count",0
2006,"language","Молдавська","copy_count",0
2006,"language","Молдавська","title_count",0
2006,"language","Новогрецька","copy_count",0
2006,"language","Новогрецька","title_count",0
2006,"language","Німецька","copy_count",0
2006,"language","Німецька","title_count",0
2006,"language","Польська","copy_count",0
2006,"language","Польська","title_count",0
2006,"language","Португальська","copy_count",0
2006,"language","Португальська","title_count",0
2006,"language","Ромська","copy_count",0
2006,"language","Ромська","title_count",0
2006,"language","Російська","copy_count",20001.8
2006,"language","Російська","title_count",4118
2006,"language","Румунська","copy_count",0
2006,"language","Румунська","title_count",0
2006,"language","Русинська","copy_count",0
2006,"language","Русинська","title_count",0
2006,"language","Сербська","copy_count",0
2006,"language","Сербська","title_count",0
2006,"language","Словацька","copy_count",0
2006,"language","Словацька","title_count",0
2006,"language","Старослов'янська (церковнослов'янська)","copy_count",0
2006,"language","Старослов'янська (церковнослов'янська)","title_count",0
2006,"language","Турецька","copy_count",0
2006,"language","Турецька","title_count",0
2006,"language","Угорська","copy_count",0
2006,"language","Угорська","title_count",0
2006,"language","Узбецька","copy_count",0
2006,"language","Узбецька","title_count",0
2006,"language","Українська","copy_count",30057
2006,"language","Українська","title_count",10602
2006,"language","Французька","copy_count",0
2006,"language","Французька","title_count",0
2006,"language","Чеська","copy_count",0
2006,"language","Чеська","title_count",0
2006,"language","Японська","copy_count",0
2006,"language","Японська","title_count",0
