"oblast_name_en","oblast_code","region_en","n_hromadas","n_settlements","total_population","urban_population","urbanization_pct","total_area","avg_travel_time","total_income_2021","total_income_2022","avg_income_per_capita_2022","oblast_population_density","income_growth_pct"
"Cherkassy","UA71000000000010357","Center",66,854,1160744,665561,57.3391721171938,20900,76.8323778542039,4932257.58359,5319049.3966,4582.44832331677,55.537990430622,7.84208461246805
"Chernigiv","UA74000000000025378","North",57,1510,959315,633335,66.0195034998931,31865,76.8230568687032,4157271.819,4045683.60715,4217.26295028223,30.1056017574141,-2.68416925109414
"Cherniveska","UA73000000000044923","West",52,417,890457,385972,43.3453833256407,8097,35.4430549706499,3338504.15096,3648504.65369,4097.33951632701,109.973693960726,9.28561082186637
"Donetks","UA14000000000091971","East",46,856,1792020,1529985,85.377674356313,18038.1,127.224122052209,8022286.86945,6073516.92002,3389.20152677984,99.3463834882831,-24.2919504268937
"Driproptrovska","UA12000000000090473","East",86,1501,3096485,2606079,84.1624939245629,31914,68.4664260928117,16543601.48057,17747484.75241,5731.49385590759,97.0259133922416,7.27703259325927
"Ivano-Frankivsk","UA26000000000069363","West",62,804,1351822,602570,44.5746555389689,13900,51.4473757639689,5435617.16953,5996506.45809,4435.86985423377,97.253381294964,10.31877836622
"Kharkiv","UA63000000000041885","East",56,1746,2598961,2115117,81.3831758152585,31415,36.8549030170133,11913730.73826,9512499.47094,3660.11628144478,82.7299379277415,-20.1551581118804
"Kherson","UA65000000000030969","South",49,698,1001598,615080,61.4098670324821,27360.3,84.4368603970855,4031373.48918,2752899.95067,2748.50783514943,36.6077126347299,-31.7131008064958
"Khmelnitsk","UA68000000000099709","Center",60,1451,1228829,713312,58.0481092161725,20645,64.833192413265,5100397.29772,5542064.85623,4510.03748790922,59.521869702107,8.65947361997537
"Kirovograd","UA35000000000016081","Center",49,1029,903712,575858,63.7214068198718,24588,71.1869622180518,3941625.84644,4022757.18848,4451.37077794696,36.7541890353018,2.05832174845505
"Kyiv-oblast","UA32000000000030281","North",69,1180,1795079,1108558,61.7553879244312,25555.2,70.1813834377206,10362582.39929,9289290.81974,5174.86462698299,70.2431990358127,-10.3573755864517
"Luhansk","UA44000000000018893","East",26,544,640680,462423,72.1769057876007,18254.6,78.9966587063745,2733422.36441,2325986.07358,3630.49583814073,35.0969070809549,-14.905720247809
"Lviv","UA46000000000026241","West",73,1928,2478133,1516357,61.1894922508195,21833,51.4960002953837,11161305.99727,13316386.80577,5373.55614318118,113.504007694774,19.3085003585344
"Mykolayiv","UA48000000000039575","South",52,911,1091821,750698,68.7565086218345,24341.5,62.9720048432848,4567521.23877,4886880.48522,4475.8989662408,44.8543023231929,6.99195974698963
"Odesa","UA51000000000030770","South",91,1173,2351392,1581536,67.2595636967379,32147.8,69.7391217627686,11047024.11916,11728074.54278,4987.71559262769,73.1431699836381,6.16501255246455
"Poltava","UA53000000000028050","Center",60,1841,1352283,848080,62.7146832430786,28748,80.5549753269101,6863110.49764,7127481.83081,5270.70282685651,47.0392027271462,3.85206289860711
"Rivenska","UA56000000000066151","West",64,1026,1141784,541842,47.4557359360439,20047,61.152186227868,4946033.20221,5353254.93567,4688.50057074718,56.9553549159475,8.23329963248212
"Sumska","UA59000000000057109","North",51,1490,1035772,723175,69.8199024495738,23834,87.4590214834925,4120025.28241,4172049.04553,4027.9608306944,43.4577494335823,1.26270494848927
"Ternopilska","UA61000000000060328","West",55,1058,1021713,471359,46.1341883679663,13823,53.5014118446178,4096603.85941,4113142.00207,4025.7312983881,73.9139839398105,0.403703731860999
"Vinnytsia","UA05000000000010236","Center",63,1503,1509515,789588,52.3073967466372,26513,62.8339205638897,6188424.43071,6960072.36626,4610.80040030076,56.9348998604458,12.4692148088729
"Vonyn","UA07000000000024379","West",54,1087,1021356,533489,52.2334034362162,20144,67.4222114522263,4363115.13998,4899169.03502,4796.73006769432,50.7027402700556,12.2860359592174
"Zakarpatska","UA21000000000011690","West",64,605,1244476,463361,37.2334219382294,12777,100.327097187893,4999322.41424,5716811.93605,4593.75024994455,97.3997025905925,14.3517353424999
"Zaporizka","UA23000000000064947","East",67,953,1638462,1269910,77.5062222987167,27237.1,71.0070354393327,7598246.05635,6487589.05753,3959.56028124546,60.1555231650947,-14.6172812854857
"Zhytomir","UA18000000000041385","North",66,1668,1179032,703260,59.6472360376987,29651.7,61.5819601164345,5186141.62815,5673175.71883,4811.72327708663,39.7627117500852,9.39106807335175
